               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.012027,            0.017718,           0.0049171,             0.99315,             0.98881,              0.9946,              0.9095,            0.011392,            0.021929,           0.0024114,            0.004654,            0.004654,            0.004654
                  56,            0.011845,            0.017515,           0.0056272,              0.9928,             0.98642,             0.99463,             0.91434,            0.011605,            0.021392,           0.0023681,            0.004555,            0.004555,            0.004555
                  57,            0.012209,            0.017319,           0.0053631,             0.99114,             0.98455,             0.99438,             0.92306,            0.012167,            0.021618,           0.0026672,            0.004456,            0.004456,            0.004456
                  58,            0.011312,            0.016145,           0.0050559,             0.98917,             0.98827,             0.99407,             0.92889,            0.011351,            0.020954,           0.0033152,            0.004357,            0.004357,            0.004357
                  59,            0.011567,            0.017182,           0.0056173,             0.99106,             0.98529,             0.99395,             0.93412,           0.0098781,            0.020819,           0.0029411,            0.004258,            0.004258,            0.004258
                  60,            0.011303,            0.016489,           0.0052247,             0.99237,             0.98818,              0.9938,             0.93374,            0.010435,            0.020036,           0.0023452,            0.004159,            0.004159,            0.004159
                  61,            0.010823,            0.016148,           0.0055716,             0.99396,             0.98842,             0.99428,             0.92386,             0.01071,            0.021009,           0.0023355,             0.00406,             0.00406,             0.00406
                  62,            0.010783,            0.016152,           0.0062329,             0.99316,             0.98895,             0.99408,             0.92022,            0.010499,             0.02117,           0.0021521,            0.003961,            0.003961,            0.003961
                  63,            0.011093,            0.015857,            0.005362,             0.99183,             0.99091,             0.99412,             0.92155,              0.0106,             0.02203,           0.0021676,            0.003862,            0.003862,            0.003862
                  64,            0.010405,            0.015806,           0.0051967,             0.99139,             0.99261,             0.99459,             0.92482,            0.010371,            0.021729,           0.0019011,            0.003763,            0.003763,            0.003763
                  65,            0.010385,            0.015294,           0.0049168,             0.99071,             0.99187,             0.99407,             0.92933,            0.010157,            0.022571,           0.0018849,            0.003664,            0.003664,            0.003664
