epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4033.76,0.39377,0.31061,0.83711,0.99625,0.99948,0.995,0.9429,0.37336,0.1779,0.80861,0.0006634,0.0006634,0.0006634
70,4092.75,0.39838,0.31551,0.83996,0.99509,0.99917,0.995,0.93629,0.37542,0.17242,0.81048,0.00065845,0.00065845,0.00065845
71,4151.7,0.39042,0.31472,0.83655,0.99845,0.99862,0.99499,0.94471,0.37094,0.17621,0.81134,0.0006535,0.0006535,0.0006535
72,4210.34,0.39167,0.31289,0.83793,0.99827,0.99625,0.995,0.94309,0.36967,0.17877,0.81157,0.00064855,0.00064855,0.00064855
73,4268.48,0.38264,0.29752,0.83602,0.99808,0.99931,0.995,0.9429,0.37526,0.17287,0.8125,0.0006436,0.0006436,0.0006436
74,4326.65,0.38743,0.30285,0.83675,0.99935,0.99879,0.995,0.94523,0.37442,0.17547,0.809,0.00063865,0.00063865,0.00063865
75,4384.83,0.37487,0.29602,0.83308,0.99677,0.99834,0.995,0.94533,0.36483,0.17019,0.80926,0.0006337,0.0006337,0.0006337
76,4442.9,0.37357,0.29984,0.82875,0.99747,0.99896,0.995,0.94627,0.36424,0.171,0.80656,0.00062875,0.00062875,0.00062875
77,4501.17,0.37695,0.29553,0.83325,0.9994,0.99944,0.995,0.94623,0.36058,0.16629,0.80586,0.0006238,0.0006238,0.0006238
78,4559.38,0.38938,0.30966,0.83773,0.99847,0.99937,0.995,0.94125,0.36508,0.1654,0.81001,0.00061885,0.00061885,0.00061885
79,4617.51,0.37142,0.29626,0.83021,0.99793,0.99975,0.995,0.94678,0.35497,0.16213,0.80504,0.0006139,0.0006139,0.0006139
80,4675.74,0.36265,0.28985,0.82795,0.99861,0.99919,0.995,0.94649,0.35322,0.16205,0.80377,0.00060895,0.00060895,0.00060895
81,4733.91,0.36481,0.29695,0.82823,0.99799,0.99815,0.99499,0.9476,0.3523,0.17574,0.79985,0.000604,0.000604,0.000604
82,4792.1,0.36624,0.28922,0.8298,0.99714,0.99597,0.995,0.94912,0.36194,0.17855,0.81114,0.00059905,0.00059905,0.00059905
83,4850.37,0.36655,0.2958,0.83341,0.99959,0.99726,0.995,0.95015,0.35508,0.1708,0.8066,0.0005941,0.0005941,0.0005941
84,4908.65,0.36927,0.30154,0.83204,0.99748,0.99716,0.99463,0.9444,0.36258,0.17545,0.81121,0.00058915,0.00058915,0.00058915
85,4966.84,0.37003,0.30159,0.83064,0.99937,0.99907,0.995,0.94934,0.35271,0.17244,0.80329,0.0005842,0.0005842,0.0005842
86,5024.98,0.36016,0.28695,0.82824,0.99835,0.99949,0.995,0.95284,0.3451,0.1665,0.80015,0.00057925,0.00057925,0.00057925
87,5083.33,0.35452,0.2814,0.8262,0.99923,0.99623,0.995,0.94853,0.34557,0.16803,0.8036,0.0005743,0.0005743,0.0005743
88,5141.42,0.35733,0.2764,0.82856,0.9978,0.99947,0.995,0.95568,0.33843,0.16261,0.79979,0.00056935,0.00056935,0.00056935
89,5199.8,0.35164,0.28683,0.82628,0.99851,0.9984,0.995,0.95517,0.33728,0.16236,0.8005,0.0005644,0.0005644,0.0005644
90,5258.14,0.34842,0.28153,0.82824,0.99841,0.99848,0.995,0.95391,0.33039,0.15739,0.79424,0.00055945,0.00055945,0.00055945
91,5316.26,0.34823,0.27929,0.82524,0.99845,0.99687,0.99496,0.95302,0.33919,0.15982,0.80069,0.0005545,0.0005545,0.0005545
92,5374.48,0.35044,0.2774,0.82711,0.99821,0.99798,0.995,0.95369,0.33344,0.16025,0.7969,0.00054955,0.00054955,0.00054955
93,5432.76,0.35779,0.28762,0.83226,0.99836,0.99694,0.995,0.95178,0.34525,0.16575,0.79822,0.0005446,0.0005446,0.0005446
94,5490.93,0.34779,0.27901,0.8247,0.99944,0.99629,0.995,0.95544,0.33509,0.15899,0.79694,0.00053965,0.00053965,0.00053965
95,5549.3,0.34479,0.26707,0.82625,0.99861,0.99796,0.995,0.95572,0.33532,0.16202,0.79922,0.0005347,0.0005347,0.0005347
96,5607.7,0.34502,0.27044,0.82622,0.99941,0.99949,0.995,0.95573,0.33071,0.15605,0.79469,0.00052975,0.00052975,0.00052975
97,5666.08,0.34081,0.27859,0.82488,0.9989,0.99755,0.995,0.95641,0.32449,0.15486,0.79465,0.0005248,0.0005248,0.0005248
98,5724.53,0.34005,0.26619,0.82482,0.99756,0.99924,0.995,0.95994,0.32545,0.15462,0.79807,0.00051985,0.00051985,0.00051985
99,5782.87,0.33852,0.27468,0.82358,0.99939,0.99957,0.995,0.95766,0.32718,0.15387,0.79453,0.0005149,0.0005149,0.0005149
100,5841.11,0.33704,0.27038,0.82115,0.99805,0.99921,0.995,0.96108,0.31645,0.15787,0.79318,0.00050995,0.00050995,0.00050995
101,5899.33,0.33575,0.26572,0.82242,0.99928,0.99888,0.995,0.95958,0.31711,0.15027,0.79034,0.000505,0.000505,0.000505
102,5957.52,0.33684,0.26318,0.82644,0.99837,0.99836,0.995,0.95992,0.31771,0.15288,0.792,0.00050005,0.00050005,0.00050005
103,6015.56,0.32967,0.26129,0.82099,0.9979,0.99897,0.995,0.95756,0.31918,0.15855,0.7923,0.0004951,0.0004951,0.0004951
104,6073.7,0.32431,0.25959,0.8234,0.99912,0.99982,0.995,0.9576,0.32235,0.14967,0.79447,0.00049015,0.00049015,0.00049015
105,6131.78,0.33336,0.26494,0.82531,0.99861,0.9961,0.995,0.95904,0.32085,0.15587,0.79581,0.0004852,0.0004852,0.0004852
106,6189.9,0.32736,0.25845,0.82144,0.99943,0.99949,0.995,0.96173,0.30832,0.14567,0.79191,0.00048025,0.00048025,0.00048025
107,6248.22,0.32807,0.25983,0.82116,0.9993,0.99923,0.995,0.9602,0.31274,0.1516,0.79026,0.0004753,0.0004753,0.0004753
108,6307.23,0.32644,0.25847,0.82148,0.99843,0.99899,0.995,0.95755,0.31475,0.15321,0.79072,0.00047035,0.00047035,0.00047035
109,6365.55,0.32722,0.25252,0.82205,0.9971,0.99796,0.99482,0.96013,0.31112,0.15313,0.79007,0.0004654,0.0004654,0.0004654
110,6423.79,0.32116,0.25276,0.82161,0.99869,0.999,0.995,0.9641,0.30801,0.14917,0.78945,0.00046045,0.00046045,0.00046045
111,6482.17,0.321,0.2554,0.81919,0.99889,0.99819,0.995,0.96507,0.31008,0.15018,0.79385,0.0004555,0.0004555,0.0004555
112,6540.41,0.31999,0.25874,0.82427,0.99861,0.99968,0.995,0.96417,0.31173,0.1506,0.79404,0.00045055,0.00045055,0.00045055
113,6598.68,0.32939,0.25829,0.82091,0.99928,0.99818,0.995,0.96315,0.30699,0.1623,0.79506,0.0004456,0.0004456,0.0004456
114,6657,0.32337,0.25707,0.82368,0.99845,0.99547,0.995,0.96752,0.30474,0.16439,0.79318,0.00044065,0.00044065,0.00044065
115,6715.33,0.31786,0.24624,0.81888,0.9988,0.9982,0.995,0.96522,0.30635,0.14832,0.79246,0.0004357,0.0004357,0.0004357
116,6773.68,0.31173,0.2502,0.81674,0.99954,0.9961,0.995,0.96308,0.30327,0.15554,0.78907,0.00043075,0.00043075,0.00043075
117,6832.12,0.30896,0.24973,0.81756,0.99663,0.99666,0.995,0.96587,0.29946,0.15483,0.79148,0.0004258,0.0004258,0.0004258
118,6890.56,0.31751,0.25491,0.81886,0.99857,0.99838,0.995,0.96612,0.29542,0.14478,0.78896,0.00042085,0.00042085,0.00042085
119,6948.89,0.312,0.2451,0.81712,0.99851,0.99877,0.995,0.9666,0.30182,0.14831,0.79419,0.0004159,0.0004159,0.0004159
120,7007.17,0.30566,0.23761,0.814,0.99928,0.99711,0.995,0.96754,0.29493,0.14791,0.78784,0.00041095,0.00041095,0.00041095
121,7065.35,0.30703,0.24193,0.81676,0.99824,0.99566,0.995,0.96769,0.2892,0.15645,0.78741,0.000406,0.000406,0.000406
122,7123.71,0.3049,0.2535,0.81868,0.9982,0.99945,0.995,0.96699,0.28654,0.14284,0.78445,0.00040105,0.00040105,0.00040105
123,7181.88,0.30296,0.23954,0.82101,0.99862,0.99826,0.995,0.96808,0.29142,0.14656,0.78894,0.0003961,0.0003961,0.0003961
124,7240.09,0.30423,0.23903,0.81552,0.99851,0.9988,0.995,0.9667,0.29191,0.14831,0.78922,0.00039115,0.00039115,0.00039115
125,7298.31,0.30463,0.24915,0.81608,0.99405,0.99909,0.99499,0.96639,0.2952,0.15341,0.79005,0.0003862,0.0003862,0.0003862
126,7356.51,0.30469,0.23895,0.81547,0.99784,0.99941,0.995,0.96651,0.27944,0.14298,0.78465,0.00038125,0.00038125,0.00038125
