epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,52493.6,0.42135,0.34142,0.90697,0.99413,0.99199,0.99436,0.9242,0.35198,0.1703,0.78516,0.00052975,0.00052975,0.00052975
97,53032.5,0.43223,0.36295,0.92283,0.99263,0.99642,0.99462,0.92161,0.35088,0.16601,0.78062,0.0005248,0.0005248,0.0005248
98,53573.7,0.42923,0.36977,0.9175,0.99478,0.9911,0.99483,0.92148,0.35822,0.16795,0.78684,0.00051985,0.00051985,0.00051985
99,54116.1,0.42052,0.35563,0.91107,0.99442,0.99361,0.9944,0.92417,0.34839,0.16462,0.78202,0.0005149,0.0005149,0.0005149
100,54657.3,0.41753,0.34751,0.90603,0.99479,0.99111,0.99444,0.92045,0.356,0.17281,0.78674,0.00050995,0.00050995,0.00050995
101,55197.3,0.4213,0.34909,0.91651,0.99391,0.99102,0.99457,0.91869,0.35719,0.17335,0.78713,0.000505,0.000505,0.000505
102,55739.5,0.42704,0.36354,0.92819,0.99512,0.99094,0.99417,0.91678,0.3594,0.1709,0.78764,0.00050005,0.00050005,0.00050005
103,56282.2,0.42448,0.36076,0.92255,0.99268,0.99453,0.99418,0.92015,0.35257,0.17203,0.783,0.0004951,0.0004951,0.0004951
104,56894.1,0.41255,0.35278,0.90383,0.99391,0.99242,0.99454,0.92043,0.35172,0.18006,0.78424,0.00049015,0.00049015,0.00049015
105,57485.3,0.42294,0.36393,0.91409,0.98912,0.99327,0.99447,0.91577,0.36595,0.17671,0.79565,0.0004852,0.0004852,0.0004852
106,58147.1,0.41549,0.33015,0.91186,0.99677,0.99275,0.9945,0.92236,0.35488,0.16684,0.78739,0.00048025,0.00048025,0.00048025
107,58783.2,0.41986,0.35356,0.91316,0.99451,0.99519,0.99406,0.92354,0.35674,0.16534,0.7906,0.0004753,0.0004753,0.0004753
108,59357.2,0.41072,0.32225,0.90939,0.99526,0.99558,0.99432,0.92312,0.35293,0.16112,0.78539,0.00047035,0.00047035,0.00047035
109,59890.5,0.40896,0.3358,0.89582,0.99301,0.99607,0.99448,0.92635,0.34913,0.15919,0.78332,0.0004654,0.0004654,0.0004654
110,60424,0.40688,0.34578,0.90866,0.99706,0.99172,0.99486,0.92467,0.34657,0.16067,0.78006,0.00046045,0.00046045,0.00046045
111,60958.4,0.41489,0.34819,0.91619,0.9942,0.99651,0.99466,0.92091,0.35271,0.16263,0.78406,0.0004555,0.0004555,0.0004555
112,61493.2,0.4153,0.35672,0.92069,0.99357,0.99137,0.99458,0.92101,0.35076,0.16748,0.78246,0.00045055,0.00045055,0.00045055
113,62027.5,0.41588,0.35827,0.92016,0.9946,0.99346,0.99464,0.92313,0.34871,0.16949,0.78355,0.0004456,0.0004456,0.0004456
114,62562.3,0.40357,0.33655,0.90292,0.99344,0.99265,0.99459,0.9246,0.34652,0.16597,0.78071,0.00044065,0.00044065,0.00044065
115,63097.1,0.41046,0.33997,0.90255,0.99419,0.99103,0.99455,0.92607,0.34552,0.16708,0.78175,0.0004357,0.0004357,0.0004357
116,63632,0.40986,0.34458,0.91188,0.99355,0.99377,0.99439,0.92523,0.34746,0.16463,0.78435,0.00043075,0.00043075,0.00043075
117,64167.6,0.39956,0.33063,0.89885,0.99539,0.99379,0.99472,0.92403,0.34404,0.16179,0.7797,0.0004258,0.0004258,0.0004258
