               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.022761,            0.050733,           0.0092755,             0.94129,             0.95296,               0.965,             0.77435,            0.016856,            0.041401,           0.0044523,            0.005248,            0.005248,            0.005248
                  50,            0.022493,            0.049434,           0.0092802,             0.94597,             0.95013,             0.96636,             0.77517,            0.016872,            0.041256,           0.0041567,            0.005149,            0.005149,            0.005149
                  51,            0.022534,            0.048805,           0.0091588,              0.9357,             0.95099,             0.96438,             0.76834,            0.017247,            0.041436,            0.004494,             0.00505,             0.00505,             0.00505
                  52,            0.022004,            0.049431,           0.0084648,             0.94462,             0.94582,             0.96629,             0.77525,            0.016286,            0.040546,           0.0042647,            0.004951,            0.004951,            0.004951
                  53,            0.021963,             0.04771,           0.0087839,             0.94302,             0.95145,             0.96668,             0.77616,            0.017143,            0.041201,           0.0040027,            0.004852,            0.004852,            0.004852
                  54,            0.021879,            0.050158,           0.0081538,             0.94796,             0.94857,             0.96875,             0.78156,             0.01606,            0.040438,           0.0039274,            0.004753,            0.004753,            0.004753
                  55,            0.022037,            0.050245,           0.0082531,             0.94577,              0.9536,              0.9659,             0.78243,            0.016452,            0.040653,           0.0041271,            0.004654,            0.004654,            0.004654
                  56,            0.021719,            0.047313,           0.0078852,             0.94118,               0.961,             0.96897,             0.79325,            0.015664,            0.039786,             0.00368,            0.004555,            0.004555,            0.004555
                  57,            0.021513,            0.047826,           0.0082033,             0.94601,             0.95146,             0.96856,             0.78263,            0.016422,            0.040186,           0.0037729,            0.004456,            0.004456,            0.004456
                  58,            0.021186,            0.047769,           0.0082189,             0.93822,             0.95292,             0.96674,             0.79266,            0.015456,            0.039286,           0.0039517,            0.004357,            0.004357,            0.004357
                  59,            0.021086,            0.047794,           0.0075715,              0.9486,             0.95921,             0.96886,              0.7885,            0.016099,            0.039891,           0.0034442,            0.004258,            0.004258,            0.004258
                  60,             0.02104,            0.048121,            0.007748,             0.94958,             0.96106,             0.97156,             0.79644,            0.015261,            0.039401,           0.0036444,            0.004159,            0.004159,            0.004159
                  61,            0.020452,            0.045199,           0.0075605,             0.95629,             0.96059,              0.9706,             0.79491,            0.015626,            0.039373,           0.0033614,             0.00406,             0.00406,             0.00406
                  62,            0.020786,            0.047865,           0.0075921,             0.94861,             0.95889,             0.96959,             0.79953,            0.015397,            0.039579,           0.0035377,            0.003961,            0.003961,            0.003961
                  63,            0.020674,            0.047582,           0.0071816,             0.95142,             0.95719,             0.97053,             0.80112,            0.015103,            0.038552,           0.0035212,            0.003862,            0.003862,            0.003862
                  64,            0.020146,            0.045886,           0.0073269,             0.95121,             0.96002,              0.9655,             0.79408,            0.015139,            0.039848,           0.0036455,            0.003763,            0.003763,            0.003763
                  65,            0.020359,            0.047218,           0.0072088,             0.94845,              0.9594,             0.96824,             0.79385,            0.015213,            0.039802,           0.0035385,            0.003664,            0.003664,            0.003664
                  66,            0.020026,            0.046215,           0.0069653,             0.95833,             0.95766,             0.96831,             0.79715,            0.015118,            0.039305,           0.0031565,            0.003565,            0.003565,            0.003565
                  67,             0.01967,            0.044418,           0.0069248,             0.95159,             0.96077,              0.9699,             0.79993,            0.015138,            0.038932,           0.0033495,            0.003466,            0.003466,            0.003466
                  68,             0.01991,            0.046217,           0.0067202,             0.95372,             0.95863,             0.96872,             0.80491,            0.014665,            0.038271,           0.0032384,            0.003367,            0.003367,            0.003367
                  69,            0.019743,            0.045636,           0.0065093,             0.95533,             0.95802,             0.96683,             0.80245,            0.015081,            0.038616,           0.0032862,            0.003268,            0.003268,            0.003268
                  70,            0.019609,            0.043878,           0.0071921,             0.94637,             0.95603,             0.96837,             0.80263,            0.014796,            0.039007,           0.0034295,            0.003169,            0.003169,            0.003169
                  71,            0.019429,            0.045683,           0.0066777,             0.95492,             0.95859,             0.97025,             0.80295,            0.014827,            0.038611,           0.0032034,             0.00307,             0.00307,             0.00307
                  72,            0.019434,            0.044689,           0.0065901,             0.95224,             0.96116,             0.96801,             0.80532,            0.014572,            0.038425,           0.0032965,            0.002971,            0.002971,            0.002971
                  73,            0.019048,            0.044654,           0.0066153,             0.95553,             0.96327,             0.97011,             0.80645,            0.014761,            0.038316,           0.0030964,            0.002872,            0.002872,            0.002872
                  74,            0.018933,            0.043211,           0.0062232,             0.95311,             0.95929,             0.96996,             0.80712,            0.014539,            0.038576,           0.0031827,            0.002773,            0.002773,            0.002773
                  75,            0.019233,            0.044965,           0.0062782,             0.95462,             0.95984,             0.96894,             0.81006,            0.014331,            0.038232,           0.0031939,            0.002674,            0.002674,            0.002674
                  76,            0.018504,            0.043849,           0.0059337,             0.95323,             0.95973,             0.96771,             0.80463,            0.014544,            0.038837,           0.0031775,            0.002575,            0.002575,            0.002575
                  77,            0.018552,            0.044921,           0.0061311,             0.95461,             0.96317,             0.96902,             0.80831,            0.014621,            0.038239,           0.0030375,            0.002476,            0.002476,            0.002476
                  78,            0.018332,            0.043402,           0.0059186,             0.95875,             0.96113,             0.97265,             0.81456,            0.014272,            0.038314,            0.002902,            0.002377,            0.002377,            0.002377
                  79,            0.018268,            0.042392,           0.0063665,             0.95459,             0.96333,             0.96811,             0.81168,            0.014069,            0.038226,             0.00305,            0.002278,            0.002278,            0.002278
                  80,            0.017594,            0.043612,           0.0057994,             0.95201,             0.96611,             0.96775,             0.81794,            0.013889,            0.037375,           0.0028669,            0.002179,            0.002179,            0.002179
                  81,            0.017508,            0.041531,           0.0056217,             0.95506,             0.96123,             0.96813,             0.81577,            0.013877,            0.037461,            0.002849,             0.00208,             0.00208,             0.00208
                  82,            0.017959,            0.043381,           0.0058413,             0.94917,             0.95902,             0.96695,             0.81393,            0.014064,              0.0378,           0.0029951,            0.001981,            0.001981,            0.001981
                  83,            0.017394,            0.040143,           0.0054226,             0.95057,             0.96223,             0.96775,             0.81194,            0.013852,            0.038306,           0.0029492,            0.001882,            0.001882,            0.001882
                  84,            0.017366,            0.040998,           0.0056967,             0.95476,             0.96329,             0.96694,             0.81773,            0.013776,            0.037896,           0.0028751,            0.001783,            0.001783,            0.001783
                  85,            0.017152,            0.042359,           0.0054383,             0.95722,             0.96272,             0.96819,             0.81811,            0.013783,             0.03781,           0.0028758,            0.001684,            0.001684,            0.001684
                  86,            0.017455,            0.042072,           0.0056426,             0.95655,             0.96644,              0.9705,             0.82202,             0.01366,            0.037483,           0.0027909,            0.001585,            0.001585,            0.001585
                  87,            0.017093,            0.040793,           0.0054317,             0.95667,             0.96593,             0.96868,             0.81957,            0.013602,            0.037341,           0.0027971,            0.001486,            0.001486,            0.001486
                  88,            0.016416,            0.038507,           0.0056143,             0.95429,             0.96277,             0.96816,             0.82159,            0.013509,            0.037215,           0.0029006,            0.001387,            0.001387,            0.001387
                  89,            0.016583,            0.039504,           0.0052895,             0.95783,             0.96041,             0.96731,             0.82024,            0.013554,            0.037161,           0.0028802,            0.001288,            0.001288,            0.001288
                  90,            0.016968,            0.040973,           0.0051953,             0.95149,             0.96898,             0.96795,              0.8204,            0.013459,            0.037222,           0.0029393,            0.001189,            0.001189,            0.001189
                  91,            0.016582,            0.039898,           0.0053616,             0.95649,             0.96566,             0.96797,             0.82435,            0.013393,            0.037005,           0.0028832,             0.00109,             0.00109,             0.00109
                  92,            0.016735,            0.040894,           0.0048309,             0.95498,             0.96689,             0.96802,             0.82576,            0.013267,            0.036942,           0.0028513,            0.000991,            0.000991,            0.000991
                  93,            0.016616,            0.040411,            0.004888,              0.9581,             0.96707,             0.96834,             0.82319,            0.013308,             0.03708,           0.0028017,            0.000892,            0.000892,            0.000892
                  94,            0.016576,            0.039448,           0.0049648,             0.95786,             0.96749,             0.96874,             0.82273,            0.013237,            0.036673,           0.0027646,            0.000793,            0.000793,            0.000793
                  95,            0.016225,            0.039485,           0.0048714,             0.95736,             0.96813,               0.968,             0.82597,            0.013184,            0.036434,           0.0028399,            0.000694,            0.000694,            0.000694
                  96,            0.016185,            0.040878,           0.0045938,             0.95782,             0.96909,             0.96913,             0.82731,            0.013088,            0.036536,           0.0027759,            0.000595,            0.000595,            0.000595
                  97,             0.01658,            0.041399,           0.0048621,             0.95989,             0.96853,             0.96918,             0.82724,            0.013087,            0.036511,           0.0027499,            0.000496,            0.000496,            0.000496
                  98,            0.016354,            0.039671,           0.0049337,             0.96001,             0.96855,             0.96887,             0.82705,            0.013079,            0.036525,           0.0027291,            0.000397,            0.000397,            0.000397
                  99,            0.015994,            0.039994,           0.0046382,             0.95955,             0.96817,             0.96867,               0.828,            0.013008,            0.036287,           0.0027321,            0.000298,            0.000298,            0.000298
